cycle,gender,race_ethnicity,prevalence_pct,n_unweighted,n_cases,weighted_pop,outcome,midyear
1999-2000,Female,Non-Hispanic White,2.414438818280797,1143.0,38.0,6295317.226628635,Coronary Heart Disease,1999.5
1999-2000,Female,Other Hispanic,1.7312387780691125,180.0,3.0,804136.0688252875,Coronary Heart Disease,1999.5
1999-2000,Male,Mexican American,1.2911470530081766,587.0,21.0,564827.1031408397,Coronary Heart Disease,1999.5
1999-2000,Male,Non-Hispanic Black,2.277255942907848,409.0,18.0,841658.7337734126,Coronary Heart Disease,1999.5
1999-2000,Male,Non-Hispanic White,5.101266228094521,1055.0,84.0,5918433.038850781,Coronary Heart Disease,1999.5
1999-2000,Male,Other Hispanic,1.2247107231366976,128.0,3.0,608535.8192072094,Coronary Heart Disease,1999.5
2001-2002,Female,Mexican American,0.8338980157609359,573.0,5.0,620755.0134733636,Coronary Heart Disease,2001.5
2001-2002,Female,Non-Hispanic Black,2.1957164142774674,530.0,14.0,1104998.0833945456,Coronary Heart Disease,2001.5
2001-2002,Female,Non-Hispanic White,2.82141892796118,1510.0,63.0,6625389.61685391,Coronary Heart Disease,2001.5
2001-2002,Female,Other Hispanic,1.4830578822835079,128.0,3.0,608315.3222963637,Coronary Heart Disease,2001.5
2001-2002,Male,Mexican American,1.395547382319164,534.0,16.0,675755.9908441817,Coronary Heart Disease,2001.5
2001-2002,Male,Non-Hispanic Black,2.9916525296265872,473.0,21.0,866432.1265234546,Coronary Heart Disease,2001.5
2001-2002,Male,Non-Hispanic White,5.10093671335962,1327.0,110.0,6281943.93378291,Coronary Heart Disease,2001.5
2001-2002,Male,Other Hispanic,1.6226323646079523,107.0,2.0,472927.5677661819,Coronary Heart Disease,2001.5
2003-2004,Female,Mexican American,1.3051238223007782,500.0,16.0,682072.2551504546,Coronary Heart Disease,2003.5
2003-2004,Female,Non-Hispanic Black,1.6334468440353451,515.0,10.0,1166440.0395915455,Coronary Heart Disease,2003.5
2003-2004,Female,Non-Hispanic White,3.2217824800791846,1401.0,65.0,6984287.293459999,Coronary Heart Disease,2003.5
2003-2004,Female,Other Hispanic,0.0,81.0,0.0,358680.4024237272,Coronary Heart Disease,2003.5
2003-2004,Male,Mexican American,1.2435955823936182,477.0,17.0,761352.2200648182,Coronary Heart Disease,2003.5
2003-2004,Male,Non-Hispanic Black,2.2217073550116555,476.0,13.0,920647.6276432727,Coronary Heart Disease,2003.5
2003-2004,Male,Non-Hispanic White,6.344308252415734,1276.0,129.0,6429764.918171,Coronary Heart Disease,2003.5
2003-2004,Male,Other Hispanic,1.2294099433600063,70.0,3.0,308999.02120963635,Coronary Heart Disease,2003.5
2005-2006,Female,Mexican American,1.7075533739085604,525.0,9.0,717372.5902425455,Coronary Heart Disease,2005.5
2005-2006,Female,Non-Hispanic Black,1.7295691301154554,579.0,14.0,1203298.6787015456,Coronary Heart Disease,2005.5
